Country Name,Country Code,2012
Aruba,ABW,102384
Andorra,AND,78360
Afghanistan,AFG,29824536
Angola,AGO,20820525
Albania,ALB,3162083
Arab World,ARB,362466629
United Arab Emirates,ARE,9205651
Argentina,ARG,41086927
Armenia,ARM,2969081
American Samoa,ASM,55128
Antigua and Barbuda,ATG,89069
Australia,AUS,22683600
Austria,AUT,8462446
Azerbaijan,AZE,9297507
Burundi,BDI,9849569
Belgium,BEL,11142157
Benin,BEN,10050702
Burkina Faso,BFA,16460141
Bangladesh,BGD,154695368
Bulgaria,BGR,7304632
Bahrain,BHR,1317827
"Bahamas, The",BHS,371960
Bosnia and Herzegovina,BIH,3833916
Belarus,BLR,9464000
Belize,BLZ,324060
Bermuda,BMU,64806
Bolivia,BOL,10496285
Brazil,BRA,198656019
Barbados,BRB,283221
Brunei Darussalam,BRN,412238
Bhutan,BTN,741822
Botswana,BWA,2003910
Sub-Saharan Africa (IFC classification),CAA,
Central African Republic,CAF,4525209
Canada,CAN,34880491
East Asia and the Pacific (IFC classification),CEA,
Europe and Central Asia (IFC classification),CEU,
Switzerland,CHE,7997152
Channel Islands,CHI,161235
Chile,CHL,17464814
China,CHN,1350695000
Cote d'Ivoire,CIV,19839750
Latin America and the Caribbean (IFC classification),CLA,
Middle East and North Africa (IFC classification),CME,
Cameroon,CMR,21699631
"Congo, Rep.",COG,4337051
Colombia,COL,47704427
Comoros,COM,717503
Cabo Verde,CPV,494401
Costa Rica,CRI,4805295
South Asia (IFC classification),CSA,
Caribbean small states,CSS,6968753
Cuba,CUB,11270957
Curacao,CUW,151892
Cayman Islands,CYM,57570
Cyprus,CYP,1128994
Czech Republic,CZE,10514810
Germany,DEU,81889839
Djibouti,DJI,859652
Dominica,DMA,71684
Denmark,DNK,5590478
Dominican Republic,DOM,10276621
Algeria,DZA,38481705
East Asia & Pacific (developing only),EAP,1991619000
East Asia & Pacific (all income levels),EAS,2233747260
Europe & Central Asia (developing only),ECA,272058887
Europe & Central Asia (all income levels),ECS,899507888
Ecuador,ECU,15492264
"Egypt, Arab Rep.",EGY,80721874
Euro area,EMU,333791352
Eritrea,ERI,6130922
Spain,ESP,46217961
Estonia,EST,1339396
Ethiopia,ETH,91728849
European Union,EUU,509036794
Finland,FIN,5414293
Fiji,FJI,874742
France,FRA,65696689
Faeroe Islands,FRO,49506
"Micronesia, Fed. Sts.",FSM,103395
Gabon,GAB,1632572
United Kingdom,GBR,63227526
Georgia,GEO,4511800
Ghana,GHA,25366462
Guinea,GIN,11451273
"Gambia, The",GMB,1791225
Guinea-Bissau,GNB,1663558
Equatorial Guinea,GNQ,736296
Greece,GRC,11280167
Grenada,GRD,105483
Greenland,GRL,56840
Guatemala,GTM,15082831
Guam,GUM,162810
Guyana,GUY,795369
High income,HIC,1302107523
"Hong Kong SAR, China",HKG,7154600
Honduras,HND,7935846
Heavily indebted poor countries (HIPC),HPC,655971763
Croatia,HRV,4267000
Haiti,HTI,10173775
Hungary,HUN,9943755
Indonesia,IDN,246864191
Isle of Man,IMN,85284
India,IND,1236686732
Not classified,INX,
Ireland,IRL,4588798
"Iran, Islamic Rep.",IRN,76424443
Iraq,IRQ,32578209
Iceland,ISL,320137
Israel,ISR,7907900
