Country,Tier 1 (label),Tier 2 (label),Tier 3 (label),Tier 4 (label),Tier 5 (label),Tier 1 (norm),Tier 2 (norm),Tier 3 (norm),Tier 4 (norm),Tier 5 (norm),Aggregate index
Afghanistan,0.674624393,4.502180842,6.78840795,,,0.630973295,0.916015949,1,,,0.848996415
Algeria,0.05113995,0.125893333,0.290566671,,,0.30378418,0.403411579,0.557280697,,,0.421492152
Angola,0.223401237,0.174502021,,,,0.49079403,0.450202611,,,,0.47049832
Argentina,,,,,,,,,,,
Australia,0.017243936,,,0.0160482,0.01885351,0.165898291,,,0.160888753,0.084305499,0.137030848
Austria,,,0.006860631,0.009515345,0.014517792,,,0.030981622,0.072945401,0.037846838,0.047257954
Azerbaijan,0.092210878,0.318131833,0.662523534,,,0.378556505,0.536264732,0.673079931,,,0.529300389
Bangladesh,0.569366945,1.263675782,,,,0.609457705,0.733934779,,,,0.671696242
Belarus,0.014212092,0.028133481,,,,0.141372026,0.188664602,,,,0.165018314
Belgium,,,,,0.014783032,,,,,0.041065601,0.041065601
Benin,0.905771644,2.646972168,,,,0.668343614,0.839897282,,,,0.754120448
Bolivia,0.219826221,0.673929826,1.566554438,,,0.488747873,0.643842125,0.793986827,,,0.642192275
Brazil,0.028473214,0.032734441,0.046195811,0.050256783,0.133506706,0.22950778,0.210371454,0.298918225,0.352955628,0.43230475,0.304811567
Bulgaria,,,,0.017667446,0.030191891,,,,0.177062235,0.168018327,0.172540281
Burkina Faso,0.962174434,4.360518934,,,,0.67600569,0.911434196,,,,0.793719943
Burundi,12.37703112,,,,,1,,,,,1
Cambodia,0.508439018,1.122802831,1.513467839,,,0.595102242,0.716995968,0.789143264,,,0.700413824
Cameroon,1.739957259,2.40283475,,,,0.751146852,0.826029534,,,,0.788588193
Canada,,,0.016663292,0.017406653,0.027315891,,,0.155658132,0.174560128,0.150221535,0.160146598
Chile,0.017645504,0.025946438,0.033709496,0.038927684,0.061802081,0.168818157,0.177067058,0.254646903,0.309977586,0.295374675,0.241176876
China,,,0.03305794,0.050180791,,,,0.251904749,0.352701029,,0.302302889
Colombia,0.040734512,0.047046067,0.090740754,,,0.274929847,0.26235006,0.39376887,,,0.310349592
Ivory Coast,0.378703574,0.858184813,0.895189113,,,0.55773695,0.678479311,0.715365971,,,0.650527411
Czech Republic,,0.012331554,0.01144985,0.014824931,0.018085186,,0.070462336,0.102939962,0.147548724,0.076908718,0.099464935
Denmark,,,0.00769991,0.008597173,0.011734006,,,0.047196042,0.055872581,0,0.034356208
Dominican Republic,0.043635386,0.086600677,0.19358258,0.4978393,1.031996853,0.283655355,0.349795242,0.500221613,0.738777647,0.795885961,0.533667164
Ecuador,,0.055248452,0.099093796,0.219836114,,,0.285381908,0.406140896,0.601250014,,0.430924273
Egypt,0.060885216,0.133710582,0.17862266,0.686540846,1.054316935,0.325907758,0.412044975,0.488921788,0.792851606,0.799690042,0.563883234
El Salvador,0.064377128,0.10766465,0.148830546,,,0.332981243,0.380995874,0.463286061,,,0.392421059
Ethiopia,0.734563368,1.070719486,,,,0.641769739,0.710189119,,,,0.675979429
Finland,,,0.008824217,0.01008964,0.012732969,,,0.066344279,0.082805503,0.014525379,0.054558387
France,,,0.008146255,0.006167879,,,,0.055112882,0,,0.027556441
Germany,0.009347836,,0.009346608,0.010830054,0.017195437,0.08823362,,0.074424646,0.094720343,0.067939798,0.081329602
Ghana,0.740591986,,,,,0.642806456,,,,,0.642806456
Greece,,0.024238717,,0.018644226,0.025144641,,0.167310044,,0.186116293,0.135496974,0.162974437
Guatemala,0.091328082,0.172047424,0.282889516,,,0.377336354,0.448172453,0.553518714,,,0.45967584
Haiti,1.337458164,2.119315101,,,,0.717777185,0.808036024,,,,0.762906605
Honduras,0.121755877,0.23097806,0.295437054,,,0.413809748,0.490384895,0.55961611,,,0.487936918
Hong Kong,,,,,0.013506189,,,,,0.025006213,0.025006213
Hungary,,,0.023114822,0.028448855,0.033598849,,,0.201637352,0.25721441,0.18702647,0.215292744
India,,0.126165085,0.257353398,0.285318163,0.44181254,,0.403720593,0.540227015,0.645116884,0.64506215,0.55853166
Indonesia,0.147956247,0.180827093,0.139210655,0.261409336,0.741578272,0.438530223,0.455305172,0.453898169,0.630391982,0.737134411,0.543051991
Iran,0.034207433,0.091151128,0.03734354,,,0.252779844,0.357134346,0.269030835,,,0.292981675
Israel,,,,0.009743776,0.013945382,,,,0.076936827,0.030695299,0.053816063
Italy,,,0.007788486,0.012373098,0.020581918,,,0.048802987,0.117131321,0.09989941,0.08861124
Japan,0.010072191,,0.010857623,0.010145423,0.014873434,0.097699947,,0.095478378,0.083733154,0.042149473,0.079765238
Jordan,0.054582232,0.088515325,0.192666665,0.125962536,,0.31204669,0.352929165,0.499555299,0.50755133,,0.418020621
Kenya,0.631359355,1.104376846,0.860753463,1.531019766,,0.622566385,0.714624633,0.709854791,0.92779298,,0.743709697
