Country,Tier 1 (label),Tier 2 (label),Tier 3 (label),Tier 4 (label),Tier 5 (label),Tier 1 (norm),Tier 2 (norm),Tier 3 (norm),Tier 4 (norm),Tier 5 (norm),Aggregate index
South Korea,,,0.015232523,,0.013382223,,,0.143045137,,0.023366925,0.083206031
Kyrgyzstan,0.537540152,,,2.351600588,0.294964703,0.602161793,,,1,0.573233013,0.725131602
Lao P.D.R.,0.376450184,1.144439995,0.601220022,,,0.556979977,0.719731383,0.65943855,,,0.645383303
Libya,,,,,,,,,,,
Madagascar,1.627391988,,,,,0.74266372,,,,,0.74266372
Malaysia,0.039009278,0.064272503,0.058916979,0.079331032,0.10111503,0.269440799,0.307063564,0.333092262,0.429759552,0.382900473,0.34445133
Mali,1.023875674,,,,,0.683889236,,,,,0.683889236
Mexico,,0.025157511,0.052980408,0.051343767,0.09529927,,0.172641945,0.31817069,0.356555872,0.372369283,0.304934448
Morocco,,0.047438259,0.071396975,0.167231841,,,0.26353979,0.360085036,0.555233126,,0.392952651
Nepal,0.259969347,,0.324913281,,,0.510021893,,0.572977541,,,0.541499717
Netherlands,,,0.008896664,0.010401822,0.016677607,,,0.067493024,0.087932421,0.062503741,0.072643062
Nicaragua,0.144367531,0.259861556,0.382573957,,,0.435415819,0.507270625,0.595929324,,,0.512871923
Niger,2.37231532,8.089694502,,,,0.790467263,1,,,,0.895233632
Nigeria,0.581377315,0.918955839,,,,0.612105422,0.688284406,,,,0.650194914
Pakistan,0.121989953,0.192322806,0.625523793,0.870957248,2.185081037,0.41405336,0.464137958,0.665006144,0.832883121,0.929250201,0.661066157
Papua New Guinea,,,,,,,,,,,
Paraguay,0.346211966,0.708617938,2.590724807,1.99151788,3.253110947,0.546359288,0.651034947,0.864664128,0.972036814,1,0.806819035
Peru,0.055053658,0.083655797,0.158701033,0.277589198,0.380152275,0.313137482,0.344837147,0.472307773,0.64049627,0.618339111,0.477823556
Philippines,0.113059199,0.144939643,0.298932739,0.598093471,1.581637974,0.404410259,0.423601492,0.561268725,0.769646633,0.871792593,0.60614394
Poland,,0.011918587,0.015245145,0.018094,0.024325762,,0.065580866,0.143161501,0.181076144,0.129610827,0.129857334
Portugal,,,,0.012265683,0.038391498,,,,0.1156643,0.210732628,0.163198464
Romania,,0.016043254,,,0.01933572,,0.108171183,,,0.08879538,0.098483282
Russia,,,0.005502937,0.011464452,0.018666748,,,0,0.10429822,0.082535617,0.062277946
Saudi Arabia,0.020623792,0.020472615,,0.029616784,,0.188600307,0.143110209,,0.263983711,,0.198564742
Senegal,0.915806516,,1.302799363,,,0.669741097,,0.768084704,,,0.718912901
Serbia,,0.03789607,0.057859929,0.081078875,0.156659018,,0.231354907,0.330548708,0.433426261,0.460735577,0.364016363
Sierra Leone,3.634065135,,,,,0.844561675,,,,,0.844561675
Singapore,,,0.005700456,0.007740968,0.028080885,,,0.004954462,0.038221898,0.155131949,0.06610277
Slovakia,,,0.013764382,0.016427769,0.026375137,,,0.128806165,0.164821857,0.143990847,0.145872956
Slovenia,0.019480771,0.025365587,0.028003608,0.038836743,0.156464451,0.181368339,0.17382238,0.22859263,0.309584062,0.460514639,0.27077641
South Africa,0.102040207,0.12125339,0.16900852,0.26687779,0.458172034,0.391403739,0.398029915,0.481148703,0.633875339,0.651526125,0.511196764
Spain,,,0.018476108,0.011278079,0.021338072,,,0.170167082,0.10154056,0.106313767,0.126007136
Sri Lanka,0.081084399,0.15021325,0.109274147,,,0.362246766,0.428723197,0.419880327,,,0.403616763
Sudan,0.379100064,1.009752508,,,,0.557869676,0.701787465,,,,0.62982857
Sweden,,0.009625838,0.009534662,0.009178447,0.015552788,,0.034962865,0.077223348,0.066880337,0.050089779,0.057289082
Switzerland,,0.008755773,0.008205835,0.012863419,0.018973374,,0.021385963,0.056136686,0.123670062,0.085432198,0.071656227
Syria,0.093253643,0.273902061,,,,0.379982796,0.514811846,,,,0.447397321
Taiwan,0.004662271,0.009424163,0.014654274,0.017020989,0.02259541,0,0.031928402,0.137607871,0.170790415,0.116492463,0.09136383
Tajikistan,1.23356872,2.726696244,2.657598679,,,0.70752115,0.844149918,0.868244682,,,0.806638583
Tanzania,3.754073334,5.353450242,,,,0.848682577,0.940834349,,,,0.894758463
Thailand,,,0.040472179,0.103638574,0.481676523,,,0.280334342,0.474729751,0.660420195,0.471828096
Tunisia,0.045188311,0.051722362,0.086435641,0.13005844,,0.288090872,0.275930575,0.386939901,0.512935258,,0.365974151
Uganda,3.588460372,4.978636127,,,,0.842959887,0.930432125,,,,0.886696006
Ukraine,0.031067142,0.040128392,0.040775624,0.062781517,0.044659017,0.240566368,0.239557524,0.281383792,0.390394061,0.237616816,0.277903712
United Arab Emirates,0.01990369,,0.024083628,0.031921013,0.18868829,0.184092468,,0.207405832,0.276589633,0.493807384,0.29047383
United Kingdom,,,,0.006444421,0.013261589,,,,0.007379451,0.021757039,0.014568245
United States,,0.007541981,0.011607954,0.013242589,0.022180979,,0,0.104866697,0.128557838,0.11320143,0.086656491
Uzbekistan,0.76152685,2.115532095,0.453151603,,,0.64634213,0.807779985,0.619715798,,,0.691279304
Venezuela,0.012406889,0.062287198,0.11090374,,,0.124142243,0.302567058,0.421960044,,,0.282889782
Vietnam,,0.035180941,0.137012334,,0.567644299,,0.220700794,0.451661863,,0.6896159,0.453992852
Yemen,0.507644053,0.90005602,,,,0.594903771,0.685306264,,,,0.640105017
Zambia,0.855239691,,,,,0.661062442,,,,,0.661062442
Zimbabwe,,,,,,,,,,,
