Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
High income: OECD,OEC,713114467,723215649,731968266,740634569,749246018,757478091,765152866,772425292,778709143,786692069,793616320,801126855.2,808730373.8,815417181.5,823171655.3,830479907,836280682,842329343,848491279,854639768,860586971,866491024,871896890,876945452,881653117,886434506,891493532,896511965,901677724,907347534,913616130,920630648,927511446.4,933956312.4,939953568.4,946039724,951749857,957460559,962852736,968248390,973931766,979604766,985548537,991586287,997678063,1003652173,1009752291,1016213800,1022787522,1028604756,1033945781,1039496025
Latin America & Caribbean (all income levels),LCN,219302838,225531845.2,231954309.8,238516531.4,245144303.4,251786238,258423772.6,265068752.9,271759058.9,278553909.2,285495714,292588539.4,299814504.6,307173820.9,314648317.2,322226798,329912007.1,337694223.4,345560538.7,353474233.8,361418206,369449375.2,377455147.6,385481369,393538538.2,401615053,409718804.4,417833987.3,425938244.7,434025287.6,442065667,450027214,457939041.7,465815840.9,473678355.3,481536721,489402526.4,497250700.4,505203262.9,512864435.4,520370163,527739174,534965369.9,542049968.6,549020343,555876167,562612227,569226101,575760287,582256973,588757676,595271833
Latin America & Caribbean (developing only),LAC,215607966,221770591.1,228122108.9,234612156.5,241172105.3,247753709,254336865.3,260935579.4,267582866.9,274330015.3,281214503,288238560,295389996.6,302666610.3,310061106,317565810,325182621.7,332904422.8,340707161.9,348560573.8,356441145,364408143.2,372345766.8,380306302.4,388298593.8,396318503,404368620.4,412433771.4,420491276.4,428531796.4,436521776,444437026,452303026.6,460126477.6,467933612.1,475739008,483547017.4,491346309.4,499089224.9,506721765.4,514207311,521555468,528758890.9,535820885.6,542768328,549607684,556338704,562955164,569493711,575996974,582501932,589018078
Least developed countries: UN classification,LDC,240415850,246125577.6,252008134.4,258112735.4,264505807.6,271223565,278316395.4,285741965.8,293333286,300861943.8,308177356,315208510.4,322040888.2,328874075.8,335993494.6,343606771,351871445.2,360689890.5,370022011.7,379784938.6,389915459,400378818.4,411228349.3,422448627.5,434021441.8,445930350,458139649.8,470685798.5,483541165.3,496675061.4,510061233,523999632,538271859,552804826,567521662,582334139,597151789,612161471,627373970,642801897,658459645,674354219,690485062,706819726,723315996,739921393,756584412,773293962,790204674,807509321,825210584,843773370
Low & middle income,LMY,2296777486,2326993665,2370352804,2425697449,2481685590,2539401910,2600937954,2662546733,2725901402,2791585773,2858727730,2927216807,2994813407,3062290977,3129518753,3195865343,3262156310,3328343690,3395887222,3464936328,3534757409,3605967396,3680508335,3755940459,3831420844,3908730726,3988588539,4070666280,4153366672,4235146967,4317249291,4396166160,4472753966,4548207537,4623231213,4698003430,4772752464,4847799655,4922284925,4995568771,5068396105,5138969917,5208544896,5277968466,5347181494,5416475284,5485645604,5554768752,5624489676,5695160789,5766461466,5838734476
Low income,LIC,238536495,244377049,250370030,256585624,263108131,269981607,277264510,284900426,292714655,300460058,307968706,315175304,322168423,329131444,336339527,343984460,352218276,360945910,370133847,379714739,389634597,399857287,410438784,421384814,432698220,444374357,456382278,468732607,481350123,494164651,507089416,520332927,533659366,547070222,560666086,574533139,588547329,602763952,617161785,631698430,646335366,661074503,675948130,690945266,706043690,721225803,736457823,751786878,767345589,783316600,799803865,816810477
Lower middle income,LMC,880095774,899629260.8,919777103.4,940390848.9,961781276.9,983711122,1006251444,1029403974,1053263791,1077859010,1103124853,1129290943,1156435761,1184308278,1212967480,1242452728,1272730718,1303787892,1335620180,1368229821,1401536752,1435164895,1469602380,1504496002,1539914138,1575900990,1612578206,1649669994,1687017038,1724457183,1763442256,1800496493,1837487301,1874385837,1910912958,1947269811,1983744201,2020351948,2056781602,2093008200,2129026367,2164493991,2200269229,2236260459,2272417126,2308682004,2345189934,2381891249,2418898374,2456263021,2494159560,2532825559
Middle East & North Africa (all income levels),MEA,105399493,108166431.4,111076523.8,114077316.2,117211170.6,120465449,123835064.8,127390862.2,131002926.6,134714236,138516550,142368638.4,146293068.3,150402041.3,154673084.4,159163460,163880560.2,168838190.8,174061533.4,179600565.9,185446033,191517347.9,197869827.5,204431007,211048346.9,217815062,224684724.6,231531451.4,238295856,244835752.4,253292672,259945012,264145130,270162220.6,276035571.8,283432640,289169296,294902240.4,300658350,306517532,312596989,318759417,325087019,331569557,338311496,345276759,352561549,360108364,367757864,375274587,382556328,389648588
Middle East & North Africa (developing only),MNA,97797510,100302314.4,102889111.8,105569473.2,108361389.6,111276047,114322994.8,117495017.2,120762238.6,124082860,127431176,130788733.4,134193613.3,137686684.3,141323412.4,145146012,149145166.2,153333768.8,157738290.4,162387320.9,167295834,172395989.9,177734855.5,183261652,188866644.9,194610538,200485330.6,206359636.4,212186115,217839168.4,225408452,231091052,236418423,241597912.6,246694607.8,251756454,256869973,261991701.4,267110961,272223961,277413760,282557047,287764354,292982528,298274692,303593040,309007470,314496567,320030119,325501306,331017162,336632660
Middle income,MIC,2058240991,2082616616,2119982774,2169111825,2218577459,2269420303,2323673444,2377646307,2433186747,2491125715,2550759024,2612041503,2672644984,2733159533,2793179226,2851880883,2909938034,2967397780,3025753375,3085221589,3145122812,3206110109,3270069551,3334555645,3398722624,3464356369,3532206261,3601933673,3672016549,3740982316,3810159875,3875833233,3939094600,4001137315,4062565127,4123470291,4184205135,4245035703,4305123140,4363870341,4422060739,4477895414,4532596766,4587023200,4641137804,4695249481,4749187781,4802981874,4857144087,4911844189,4966657601,5021923999
North America,NAC,198624409,202007500,205198600,208253700,211262900,214031100,216659000,219176000,221503000,223759000,226431000,229361135.2,231943830.8,234332207.5,236681487.3,239235000,241606200,244088400,246674600,249385800,251872000,254420400,256920800,259303200,261582600,263922000,266393900,268896800,271452700,274257600,277474500,281213682,285094597.4,288813410.4,292299206.4,295693700,299127700,302706100,306163900,309601200,312994211,316113355,319049993,321846933,324863598,327892199,331019786,334224940,337477264,340565619,343540107,346139396
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,787345454,799642515,810618842,821527019,832387591,842870258,852788142,862302521,870855471,881173723,890526423,900567503.2,910791692.8,920169162.5,930654167.3,940709209,949268370,958088747,967026106,975943845,984647415,993287860,1001410957,1009168962,1016595281,1024116515,1031938846,1039738829,1047699725,1056170881,1065240821,1075052642,1084725256,1093955393,1102731062,1111586538,1120060977,1128525159,1136636505,1144686253,1152939042,1161083423,1169412846,1177788082,1186222166,1194580842,1203119765,1212060561,1221134003,1229440074,1237234841,1245198487
Other small states,OSS,6567635,6697969.76,6828347.04,6960158.32,7094416.4,7232124,7373213.52,7518272.52,7669628.72,7830226.92,8002062,8186783.44,8383577.32,8589313.2,8799550.68,9011257,9223183.2,9437078.6,9656259.4,9885471.8,10128185,10383012.57,10649075.63,10928883.8,11225443.31,11540010,11878008.21,12233915.35,12598700.17,12959353.53,13308260,13641549.99,13962523.99,14271384.41,14578811.61,14881545,15187749,15496780,15784177,16076981,16369666,16668275,16971564,17276817,17580873,17856038,18159986,18465862,18788409,19111087,19434668,19761155
Pacific island small states,PSS,862279,890136.64,919390.44,949398.44,979291.64,1008427,1036597.44,1063929.84,1090532.04,1116631.84,1142432,1167968.4,1193185.2,1218344.8,1243773.6,1269741,1295967.24,1322732.52,1350406.68,1379450.56,1410076,1442746.44,1477109.32,1511563.48,1543951.76,1572813,1597378.828,1618351.513,1637612.296,1657873.395,1680556,1707141,1736354,1767051,1797501,1826452,1853706,1879691,1904522,1928484,1951857,1974521,1996583,2018832,2042308,2067735,2095432,2125167,2156425,2188409,2220508,2252582
Small states,SST,11604619,11839534,12075669.65,12313960.51,12554493.88,12797702,13044610.38,13294666.62,13548332.7,13806441.6,14069940,14338193.88,14612367.08,14891721.31,15174576.32,15460621,15749302.16,16042001.89,16342238.99,16657235.15,16992288,17341406.85,17711751.37,18095708.28,18491684.48,18890593,19299195.45,19709553.18,20116742.18,20533651.54,20943662,21346139.97,21742577.74,22133969.33,22524552.94,22907722,23299351.43,23688596.68,24052286.05,24413560.36,24774901.55,25142740.62,25510930.22,25877224,26250091,26594582,26970489,27350274,27747033,28141839,28535667,28933140
South Asia,SAS,573489857,585784816,598447490,611393557,625014668,639115982,653822848,669084974,684818049,700799081,716952128,733119851,749458968,766246801,783685095,802035487,821450442,841790097,862937325,884693980,906858454,929171965,952108203,975293709,998847276,1022860698,1047274469,1071977722,1096879537,1121861408,1146783870,1171920467,1196883172,1221890818,1247014438,1272293651,1297598823,1323037592,1348426671,1373655194,1398310494,1422217210,1446205138,1470023697,1493639568,1517061688,1540322790,1563401321,1586433246,1609611396,1632939098,1656464573
Sub-Saharan Africa (all income levels),SSF,230347758,235962934.4,241732806.6,247668893.9,253778500,260071476,266560887.1,273265341.1,280206407.3,287408167.5,294891209,302686418.1,310768536,319155151.9,327868551.4,336925251,346334336.5,356088136.8,366184696.6,376621649.3,387394191,398487571.2,409902684.2,421646193.5,433728164.1,446150360,458908822.6,471979296.9,485331066,498924455.5,512725058,526809820.8,541184585.8,555837440.8,570763075.3,585951221,601425263,617203502,633296390.8,649776922.5,666677969,683805392,701046326,718654922,736641187,755035063,773852702,793102078,812853225,833121622,853931672,875561262
Sub-Saharan Africa (developing only),SSA,230095643,235707834.4,241474865.6,247407902.9,253513755,259802047,266285415.1,272982895.1,279917704.3,287116152.5,294600302,302401505.1,310493643,318892774.9,327618982.4,336687011,346105802.5,355867688.8,365969281.6,376406533.3,387173609,398254895.2,409651972.2,421373976.5,433434463.1,445837726,458580703.6,471638471.9,484979372,498562130.5,512351171,526423284.8,540784742.8,555423710.8,570335070.3,585508694,600967942,616731016,632808351.8,649272921.5,666157589,683268197,700491897,718082923,736051393,754427324,773226925,792458142,812190898,832440507,853231271,874841049
Upper middle income,UMC,1178145217,1182987355,1200205671,1228720976,1256796182,1285709181,1317422000,1348242332,1379922957,1413266705,1447634171,1482750561,1516209224,1548851254,1580211746,1609428155,1637207315,1663609887,1690133195,1716991768,1743586060,1770945214,1800467170,1830059643,1858808486,1888455379,1919628055,1952263679,1984999510,2016525132,2046717619,2075336741,2101607299,2126751478,2151652168,2176200480,2200460934,2224683755,2248341538,2270862141,2293034372,2313401423,2332327537,2350762741,2368720678,2386567477,2403997847,2421090625,2438245713,2455581168,2472498041,2489098440
World,WLD,3040197182,3081388863,3134442541,3199390561,3264900618,3331758502,3401814566,3471602206,3542131429,3616683610,3691696231,3768664045,3844845817,3920059440,3996100830,4070903396,4144149614,4217583144,4292564634,4369283186,4446509520,4525211935,4606764747,4688765928,4770443389,4853948076,4940216419,5028661457,5117852621,5206596300,5296211383,5383011907,5465646081,5548906924,5631063822,5714716950,5796196182,5877983064,5958950337,6038635376,6118131162,6195665261,6272454870,6349177990,6426093254,6503186030,6580545179,6658468720,6737188032,6815849599,6894377794,6973738433
Afghanistan,AFG,9671046,9859928,10056480,10261254,10474903,10697983,10927724,11163656,11411022,11676990,11964906,12273101,12593688,12915499,13223928,13505544,13847330,14197767,14557071,14925469,15303190,15657868,16020767,16392077,16771993,17160714,17518107,17882944,18255378,18635569,19023678,19668810,20335820,21025450,21738467,22475663,23131309,23806081,24500537,25215252,25950816,26697430,27465525,28255719,29068646,29904962,30751661,31622333,32517656,33438329,34385068,35320445
Albania,ALB,1610565,1661158,1712563,1764593,1817098,1869942,1922993,1976140,2029314,2082474,2135599,2188650,2241623,2294578,2347607,2400801,2454255,2508026,2562121,2616530,2671300,2725029,2777592,2831682,2891004,2957390,3033393,3116009,3194854,3255859,3289483,3291695,3266983,3224901,3179442,3141102,3112597,3091902,3079037,3072725,3071856,3077378,3089778,3106701,3124861,3141800,3156607,3169665,3181397,3192723,3204284,3215988
Algeria,DZA,10799997,11006643,11209845,11420845,11654905,11923002,12229853,12572629,12945462,13338918,13746185,14165889,14600659,15052371,15524137,16018195,16533323,17068212,17624756,18205468,18811199,19442423,20095648,20762767,21433070,22098298,22753511,23398470,24035237,24668100,25299182,25930560,26557969,27169903,27751086,28291591,28786855,29242917,29673694,30099010,30533827,30982214,31441848,31913462,32396048,32888449,33391954,33906605,34428028,34950168,35468208,35980193
American Samoa,ASM,20041,20500,21124,21870,22672,23480,24283,25087,25869,26608,27288,27907,28470,28983,29453,29897,30305,30696,31139,31727,32526,33557,34797,36203,37706,39253,40834,42446,44048,45595,47052,48402,49648,50801,51885,52919,53901,54834,55745,56667,57625,58633,59687,60774,61871,62962,64045,65130,66217,67312,68420,69543
Andorra,AND,13377,14337,15337,16373,17438,18529,19640,20772,21931,23127,24364,25656,26997,28357,29688,30967,32156,33279,34432,35753,37328,39226,41390,43636,45702,47414,48653,49504,50236,51241,52773,54996,57767,60670,63111,64699,65227,64905,64246,63985,64634,66390,69043,72203,75292,77888,79874,81390,82577,83677,84864,86165
Angola,AGO,4963068,5053693,5147083,5242084,5337063,5431135,5524090,5617242,5713156,5815282,5926333,6047736,6179685,6322194,6474796,6637419,6808850,6989988,7185188,7400231,7638420,7903368,8191774,8491682,8786652,9065562,9322550,9562796,9799680,10052567,10335052,10653515,11002910,11371750,11742960,12105105,12452725,12792237,13138265,13511575,13926373,14388244,14890474,15419943,15957460,16489021,17010366,17525367,18037964,18555115,19081912,19618432
Antigua and Barbuda,ATG,54657,55408,56362,57472,58653,59844,61032,62226,63401,64528,65587,66554,67419,68182,68848,69420,69910,70301,70533,70525,70228,69639,68803,67792,66701,65614,64539,63510,62669,62192,62202,62754,63802,65238,66895,68642,70450,72322,74190,75985,77656,79165,80507,81716,82838,83916,84952,85935,86881,87802,88710,89612
Argentina,ARG,20625451,20961000,21297317,21633126,21966478,22296628,22622012,22944941,23273148,23616971,23983358,24376109,24791983,25222223,25654154,26078731,26492716,26899177,27303001,27711808,28131040,28561561,29001060,29447973,29899743,30354240,30810984,31269799,31729130,32187173,32642442,33093579,33540023,33982035,34420352,34855160,35287113,35714929,36134642,36541029,36930709,37302116,37657340,38001251,38340778,38681174,39023850,39368066,39714298,40062470,40412376,40764561
Armenia,ARM,1867396,1934239,2002170,2070427,2138133,2204650,2269475,2332624,2394635,2456370,2518408,2580894,2643464,2705584,2766495,2825650,2882831,2938181,2991954,3044564,3096298,3145885,3192877,3239212,3287588,3339147,3396511,3457054,3510439,3542720,3544695,3512051,3449940,3370373,3290540,3223173,3172185,3134836,3109101,3090624,3076098,3065810,3061067,3060554,3062612,3065954,3069844,3074181,3079087,3084979,3092072,3100236
Aruba,ABW,54209,55436,56227,56698,57031,57362,57714,58052,58388,58725,59066,59439,59849,60238,60524,60654,60589,60366,60108,59980,60099,60570,61347,62208,62833,63030,62645,61830,61069,61026,62147,64642,68286,72573,76762,80323,83069,85161,86827,88442,90271,92363,94596,96875,99046,100996,102711,104225,105526,106612,107488,108141
Australia,AUS,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,21072500,21498500,21951700,22299800,22620600
Austria,AUT,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8300788,8336926,8365275,8389771,8419000
